      0.32121321,      0.32121321,      0.25000000
      0.17121321,      0.17121321,     -0.25000000
      0.32800742,      0.32800742,      0.26220210
      0.17800742,      0.17800742,     -0.23779790
      0.32995890,      0.32995890,      0.27229434
      0.17995889,      0.17995889,     -0.22770566
      0.32673021,      0.32673021,      0.27853169
      0.17673020,      0.17673020,     -0.22146831
      0.31887962,      0.31887962,      0.27983566
      0.16887962,      0.16887962,     -0.22016434
      0.30776458,      0.30776458,      0.27598076
      0.15776458,      0.15776458,     -0.22401924
      0.29530698,      0.29530698,      0.26763356
      0.14530697,      0.14530697,     -0.23236644
      0.28366084,      0.28366084,      0.25623735
      0.13366084,      0.13366084,     -0.24376265
      0.27483990,      0.27483990,      0.24376265
      0.12483989,      0.12483989,     -0.25623735
      0.27036936,      0.27036936,      0.23236644
      0.12036936,      0.12036936,     -0.26763356
      0.27102224,      0.27102224,      0.22401924
      0.12102223,      0.12102223,     -0.27598076
      0.27668563,      0.27668563,      0.22016434
      0.12668563,      0.12668563,     -0.27983566
      0.28638030,      0.28638030,      0.22146831
      0.13638029,      0.13638029,     -0.27853169
      0.29842993,      0.29842993,      0.22770566
      0.14842993,      0.14842993,     -0.27229434
      0.31075105,      0.31075105,      0.23779790
      0.16075104,      0.16075104,     -0.26220210
      0.32121321,      0.32121321,      0.25000000
      0.17121321,      0.17121321,     -0.25000000
